A0A1D8PC38,0.482, 0.681, 0.797,255,2
A0A1D8PC43,0.028, 0.088, 1.000,362,1
A0A1D8PC56,0.117, 0.259, 0.470,384,3
A0A1D8PC67,0.743, 0.918, 0.560,428,0
A0A1D8PC68,0.191, 0.395, 1.000,94,1
A0A1D8PC70,0.231, 0.614, 0.723,653,4
A0A1D8PC71,0.060, 0.439, 1.000,182,1
A0A1D8PC73,0.153, 0.519, 1.000,150,2
A0A1D8PC75,0.340, 0.383, 0.391,300,2
A0A1D8PC76,0.048, 0.131, 0.875,542,1
A0A1D8PC77,0.132, 0.614, 0.955,478,4
A0A1D8PC79,0.209, 0.588, 1.000,43,0
A0A1D8PC83,0.212, 0.330, 0.505,722,4
A0A1D8PC84,0.146, 0.101, 0.322,636,2
A0A1D8PC90,0.887, 0.974, 0.266,794,1
A0A1D8PC97,0.053, 0.151, 0.453,449,1
A0A1D8PCA4,0.217, 0.582, 0.558,1300,8
A0A1D8PCA6,0.233, 0.765, 0.571,1535,7
A0A1D8PCA8,0.297, 0.262, 0.438,609,1
A0A1D8PCB0,0.296, 0.183, 0.159,698,2
A0A1D8PCB2,0.924, 0.701, 0.214,576,0
A0A1D8PCB4,0.219, 0.693, 0.630,1013,8
A0A1D8PCB5,0.227, 0.270, 0.273,599,1
A0A1D8PCB9,0.023, 0.038, 1.000,217,1
A0A1D8PCC3,0.454, 0.626, 0.207,1411,9
A0A1D8PCC4,0.620, 0.676, 0.234,366,2
A0A1D8PCC6,0.293, 0.242, 0.242,252,2
A0A1D8PCC7,0.636, 0.456, 0.168,541,3
A0A1D8PCC8,0.034, 0.344, 1.000,205,3
A0A1D8PCD0,0.056, 0.025, 1.000,124,1
A0A1D8PCD2,0.073, 0.117, 0.260,977,2
A0A1D8PCD3,0.205, 0.121, 0.688,156,1
A0A1D8PCD5,0.532, 0.323, 0.778,152,1
A0A1D8PCD7,0.314, 0.377, 0.965,89,1
A0A1D8PCD8,0.013, 0.172, 1.000,312,1
A0A1D8PCE7,0.115, 0.238, 0.452,270,2
A0A1D8PCF1,0.563, 0.700, 0.456,474,3
A0A1D8PCF2,0.747, 0.684, 0.348,427,2
A0A1D8PCF5,0.315, 0.519, 0.356,738,3
A0A1D8PCF7,0.619, 0.916, 0.200,757,4
A0A1D8PCG3,0.074, 0.118, 0.216,551,2
A0A1D8PCG4,0.534, 0.380, 0.225,660,3
A0A1D8PCG5,0.707, 0.522, 0.140,607,2
A0A1D8PCG7,0.000, 0.080, 1.000,87,1
A0A1D8PCG9,0.362, 0.549, 0.213,508,1
A0A1D8PCH1,0.229, 0.655, 0.437,992,5
A0A1D8PCH2,0.346, 0.865, 0.517,431,4
A0A1D8PCH3,0.689, 0.344, 0.068,717,3
A0A1D8PCH9,0.038, 0.079, 1.000,132,1
A0A1D8PCI5,0.047, 0.166, 0.617,622,2
A0A1D8PCI6,0.008, 0.031, 1.000,262,1
A0A1D8PCI9,0.354, 0.391, 0.525,566,1
A0A1D8PCJ0,0.111, 0.081, 0.432,332,2
A0A1D8PCJ1,0.109, 0.276, 0.560,293,2
A0A1D8PCJ4,0.124, 0.201, 0.323,227,1
A0A1D8PCJ5,0.285, 0.430, 0.246,633,3
