A0A2C9SN78,0.493, 0.479, 0.278,1040,4
A1XDC0,0.477, 0.908, 0.283,894,5
A9CLV7,0.419, 0.672, 0.819,105,1
A9CLV8,0.547, 0.936, 0.680,137,1
B0G0Y4,0.513, 0.630, 0.138,1136,5
B0G0Y5,0.817, 0.478, 0.124,971,3
B0G0Y7,0.286, 0.959, 0.899,105,1
B0G0Y8,0.357, 0.050, 0.067,466,1
B0G0Y9,0.694, 0.778, 0.389,900,7
B0G0Z0,0.232, 0.194, 0.112,417,2
B0G0Z1,0.796, 0.564, 0.068,977,1
B0G0Z2,0.311, 0.750, 0.457,302,3
B0G0Z3,0.595, 0.519, 0.183,667,1
B0G0Z4,0.322, 0.091, 0.888,112,1
B0G0Z6,0.060, 0.113, 1.000,235,2
B0G0Z7,0.141, 0.081, 0.128,440,2
B0G0Z8,0.303, 0.577, 0.974,122,1
B0G100,0.129, 0.526, 0.760,2513,11
B0G101,0.123, 0.601, 0.805,2514,1
B0G102,0.122, 0.139, 1.000,82,1
B0G103,0.169, 0.649, 0.769,2485,12
B0G104,0.011, 0.124, 1.000,179,1
B0G105,0.740, 0.673, 0.078,1838,6
B0G106,0.038, 0.654, 1.000,132,2
B0G107,0.184, 0.119, 0.103,514,2
B0G108,0.082, 0.700, 1.000,109,1
B0G109,0.157, 0.303, 0.369,313,1
B0G110,0.056, 0.068, 0.625,629,2
B0G111,0.475, 0.781, 0.240,1012,4
B0G112,0.349, 0.450, 0.384,885,6
B0G115,0.491, 0.692, 0.623,887,7
B0G116,0.046, 0.080, 0.370,409,1
B0G117,0.070, 0.103, 0.157,644,2
B0G118,0.556, 0.585, 0.185,1123,5
B0G119,0.036, 0.056, 1.000,111,1
B0G120,0.184, 0.173, 0.402,163,1
B0G121,0.453, 0.508, 0.550,245,2
B0G123,0.278, 0.204, 0.194,353,2
B0G124,0.165, 0.054, 0.152,200,1
B0G125,0.692, 1.000, 0.834,52,0
B0G126,0.702, 0.591, 0.067,2656,8
B0G127,0.094, 0.797, 0.979,851,4
B0G128,0.472, 0.883, 0.233,373,3
B0G129,0.370, 0.305, 0.254,818,4
B0G130,0.495, 0.292, 0.188,657,2
B0G131,0.655, 0.730, 0.308,697,3
B0G132,0.364, 0.470, 0.239,588,2
B0G133,0.053, 0.126, 1.000,151,1
B0G134,0.483, 0.663, 0.306,465,3
B0G136,0.254, 0.519, 0.665,883,7
B0G139,0.452, 0.383, 0.190,525,2
B0G140,0.225, 0.114, 0.773,488,3
B0G141,0.086, 0.170, 0.116,410,2
B0G142,0.261, 0.834, 0.590,617,5
B0G143,0.218, 0.978, 0.812,294,2
B0G144,0.526, 0.734, 0.909,207,1
B0G146,0.396, 0.377, 0.301,614,2
B0G147,0.270, 0.085, 0.215,274,1
B0G148,0.086, 0.399, 0.453,513,3
B0G149,0.210, 0.425, 0.452,348,3
B0G151,0.730, 0.222, 0.303,281,1
B0G152,0.947, 1.000, 0.187,344,0
B0G153,0.857, 0.972, 0.292,244,1
B0G154,0.368, 0.991, 0.522,1691,18
B0G155,0.405, 0.741, 0.486,578,4
B0G156,0.079, 0.312, 0.848,254,2
B0G157,0.427, 0.340, 0.225,1221,6
B0G158,0.303, 0.614, 0.432,360,5
B0G159,0.242, 0.598, 0.657,472,4
B0G160,0.105, 0.139, 0.486,589,4
B0G161,0.637, 0.262, 0.064,483,1
B0G162,0.456, 1.000, 0.836,134,1
B0G163,0.335, 0.495, 0.194,978,6
B0G164,0.574, 0.498, 0.274,957,5
B0G165,0.762, 0.622, 0.378,825,3
B0G167,0.288, 0.414, 0.392,611,3
B0G168,0.453, 0.896, 0.812,106,0
B0G170,0.183, 0.663, 0.546,2690,17
B0G171,0.719, 0.181, 0.188,178,1
B0G172,0.056, 0.056, 0.214,339,1
B0G176,0.679, 0.299, 0.574,187,1
B0G177,0.132, 0.259, 0.371,432,2
B0G178,0.459, 0.724, 0.331,322,2
B0G179,0.247, 0.267, 0.186,174,1
B0G180,0.024, 0.127, 1.000,170,1
B0G181,0.471, 0.423, 0.093,968,3
B0G182,0.264, 0.348, 0.367,677,6
B0G183,0.220, 0.417, 0.623,569,4
B0G184,0.401, 0.265, 0.299,334,1
B0G185,0.064, 0.042, 1.000,154,1
B0G186,0.059, 0.037, 1.000,85,1
B0G187,0.667, 0.961, 0.498,779,6
B0G188,0.822, 0.427, 0.107,695,2
B0G189,0.159, 0.554, 0.421,685,5
B0G190,0.706, 0.441, 0.051,1398,3
B0G191,0.031, 0.104, 1.000,129,1
B0G192,0.000, 0.011, 1.000,183,1
