A0A075B5I0,1.000, 0.000, 0.429,98,0
A0A075B5I2,0.177, 0.086, 0.949,113,1
A0A075B5J6,0.160, 0.080, 0.894,119,1
A0A075B5J9,0.168, 0.042, 0.262,113,1
A0A075B5K0,0.197, 0.042, 0.868,117,1
A0A075B5K2,0.011, 0.021, 1.000,95,1
A0A075B5K3,0.199, 0.042, 0.955,116,1
A0A075B5K6,0.166, 0.100, 0.952,120,1
A0A075B5L0,0.000, 0.074, 1.000,95,1
A0A075B5L1,0.182, 0.095, 0.764,115,1
A0A075B5L2,0.219, 0.043, 0.845,119,1
A0A075B5L3,0.222, 0.044, 0.694,117,1
A0A075B5L6,0.031, 0.139, 1.000,96,1
A0A075B5L7,0.216, 0.043, 0.639,116,1
A0A075B5L8,0.193, 0.052, 0.653,119,1
A0A075B5M1,0.053, 0.089, 1.000,95,1
A0A075B5M2,0.011, 0.054, 1.000,94,1
A0A075B5M3,0.052, 0.033, 1.000,97,1
A0A075B5M4,0.202, 0.137, 0.624,119,1
A0A075B5M7,0.011, 0.042, 1.000,95,1
A0A075B5N3,0.030, 0.041, 1.000,101,1
A0A075B5N4,0.010, 0.020, 1.000,100,1
A0A075B5N5,0.211, 0.042, 0.692,123,1
A0A075B5N7,0.011, 0.075, 1.000,95,1
A0A075B5N8,0.178, 0.030, 0.809,118,1
A0A075B5N9,0.000, 0.040, 1.000,99,1
A0A075B5P0,0.168, 0.041, 0.952,119,1
A0A075B5P1,0.168, 0.041, 0.899,119,1
A0A075B5P8,0.138, 0.039, 1.000,116,1
A0A075B5P9,0.163, 0.020, 0.945,117,1
A0A075B5Q0,0.154, 0.020, 0.942,117,1
A0A075B5Q2,0.154, 0.031, 0.942,117,1
A0A075B5Q3,0.070, 0.122, 1.000,115,1
A0A075B5Q4,0.137, 0.050, 1.000,117,1
A0A075B5Q5,0.060, 0.119, 1.000,116,1
A0A075B5Q7,0.096, 0.097, 1.000,114,1
A0A075B5Q8,0.103, 0.077, 1.000,116,1
A0A075B5R0,0.129, 0.039, 1.000,116,1
A0A075B5R1,0.154, 0.020, 0.942,117,1
A0A075B5R2,0.150, 0.029, 1.000,120,1
A0A075B5R4,0.137, 0.070, 0.876,117,1
A0A075B5R5,0.069, 0.102, 1.000,116,1
A0A075B5R6,0.145, 0.100, 1.000,117,1
A0A075B5R7,0.102, 0.115, 1.000,117,1
A0A075B5R8,0.145, 0.030, 1.000,117,1
A0A075B5R9,0.154, 0.080, 0.942,117,1
A0A075B5S0,0.020, 0.165, 1.000,99,1
A0A075B5S1,0.000, 0.010, 1.000,98,1
A0A075B5S2,0.149, 0.020, 1.000,121,1
A0A075B5S3,0.126, 0.072, 1.000,111,1
A0A075B5S4,0.000, 0.031, 1.000,98,1
A0A075B5S6,0.147, 0.020, 0.939,116,1
A0A075B5S9,0.000, 0.010, 1.000,98,1
A0A075B5T0,0.214, 0.107, 0.607,131,1
A0A075B5T1,0.137, 0.079, 0.934,117,1
A0A075B5T2,0.153, 0.040, 1.000,118,1
A0A075B5T3,0.134, 0.039, 1.000,119,1
A0A075B5T4,0.146, 0.020, 0.938,117,1
A0A075B5T5,0.000, 0.010, 1.000,98,1
A0A075B5T6,0.126, 0.048, 1.000,119,1
A0A075B5T7,0.145, 0.020, 0.883,117,1
A0A075B5U0,0.000, 0.020, 1.000,98,1
A0A075B5U1,0.000, 0.102, 1.000,98,1
A0A075B5U7,0.137, 0.030, 0.934,117,1
A0A075B5U9,0.000, 0.092, 1.000,98,1
A0A075B5V0,0.137, 0.030, 0.934,117,1
A0A075B5V1,0.000, 0.041, 1.000,98,1
A0A075B5V2,0.145, 0.020, 0.883,117,1
A0A075B5V5,0.154, 0.071, 0.942,117,1
A0A075B5V6,0.000, 0.041, 1.000,98,1
A0A075B5V7,0.000, 0.020, 1.000,98,1
A0A075B5V8,0.000, 0.061, 1.000,98,1
A0A075B5V9,0.041, 0.213, 1.000,98,1
A0A075B5W1,0.154, 0.011, 0.942,117,1
