A0A140KXU9,0.293, 0.734, 0.491,208,2
A0A140KXV7,0.034, 0.342, 1.000,118,1
A0A140KXV8,0.008, 0.236, 1.000,128,1
A0A140KXW0,0.444, 0.617, 0.595,239,1
A0A140KXW6,0.007, 0.258, 1.000,410,2
A0A140KXW8,0.558, 1.000, 0.986,129,0
A0A140KXW9,0.161, 0.617, 0.658,767,5
A0A140KXX4,0.181, 0.524, 0.779,575,6
A0A140KXX5,0.396, 0.559, 0.333,1024,7
A0A143ZUM0,0.694, 0.389, 0.151,1233,5
A0A143ZV51,0.362, 0.882, 0.953,174,0
A0A143ZV68,0.800, 1.000, 0.286,1385,6
A0A143ZVA4,0.992, 0.000, 0.114,1502,0
A0A143ZVA5,0.089, 0.964, 1.000,90,1
A0A143ZVA6,0.677, 0.251, 0.078,505,1
A0A143ZVB3,0.394, 0.177, 0.173,617,4
A0A143ZVB5,0.271, 0.384, 0.177,439,3
A0A143ZVB6,0.176, 0.576, 0.648,760,8
A0A143ZVC0,0.181, 0.294, 1.000,83,1
A0A143ZVC5,0.651, 0.529, 0.177,915,3
A0A143ZVC8,0.803, 0.338, 0.095,490,1
A0A143ZVD1,0.409, 0.530, 0.553,230,1
A0A143ZVI0,0.301, 0.575, 0.442,316,3
A0A143ZVI1,0.316, 0.393, 0.399,357,3
A0A143ZVI9,0.108, 0.262, 0.907,193,1
A0A143ZVJ1,0.507, 0.211, 0.949,77,1
A0A143ZVJ7,0.625, 0.989, 0.237,1053,4
A0A143ZVJ8,0.340, 0.189, 0.250,471,1
A0A143ZVK7,0.333, 0.618, 0.565,330,3
A0A143ZVL3,0.220, 0.716, 0.455,249,2
A0A143ZVL6,0.997, 0.000, 0.084,2572,6
A0A143ZVM1,0.306, 0.666, 0.569,1394,10
A0A143ZVM5,0.662, 0.680, 0.144,305,0
A0A143ZVN0,0.274, 0.415, 0.536,306,4
A0A143ZVN3,0.283, 0.450, 0.269,368,4
A0A143ZVW0,0.350, 0.557, 0.274,323,3
A0A143ZVW7,0.926, 0.520, 0.082,1852,2
A0A143ZVX7,0.309, 0.656, 0.521,298,2
A0A143ZVZ5,0.491, 0.613, 0.458,436,3
A0A143ZW02,0.567, 0.400, 0.236,335,2
A0A143ZW11,0.795, 1.000, 0.405,317,1
A0A143ZW87,0.188, 0.371, 0.484,691,6
A0A143ZW95,0.088, 0.545, 0.773,453,3
A0A143ZWA3,0.439, 0.235, 0.408,319,2
A0A143ZWB4,0.209, 0.544, 0.722,172,1
A0A143ZWC2,0.477, 0.483, 0.509,111,1
A0A143ZWD4,0.481, 0.933, 0.324,231,2
A0A143ZWD5,0.290, 0.542, 0.393,369,3
A0A143ZWE7,0.427, 0.775, 0.321,365,2
A0A143ZWE8,0.599, 0.222, 0.407,439,1
A0A143ZWF7,0.389, 0.198, 0.350,265,2
A0A143ZWG8,0.710, 0.952, 0.423,1925,5
A0A143ZWH4,0.034, 0.407, 1.000,150,2
A0A143ZWH6,0.482, 0.965, 0.710,222,1
A0A143ZWH7,0.404, 0.762, 0.295,379,3
A0A143ZWI3,1.000, 0.000, 0.212,118,0
A0A143ZWI7,0.855, 0.931, 0.641,303,0
A0A143ZWJ1,0.310, 0.512, 0.339,679,5
A0A143ZWJ2,0.269, 0.600, 0.818,123,1
A0A143ZWJ4,0.304, 0.481, 0.312,368,4
A0A143ZWJ6,0.376, 0.554, 0.330,468,4
A0A143ZWL4,0.346, 0.161, 0.309,561,3
A0A143ZWN4,0.322, 0.556, 0.292,329,4
A0A143ZWP5,0.920, 1.000, 0.752,224,0
A0A143ZWS3,0.885, 1.000, 0.253,2418,12
A0A143ZWS9,0.177, 1.000, 0.960,141,2
A0A143ZWT2,0.629, 0.949, 0.326,1381,10
A0A143ZWT9,0.465, 0.419, 0.286,286,2
A0A143ZWV2,0.303, 0.585, 0.528,356,4
A0A143ZX23,0.197, 0.692, 0.898,198,3
A0A143ZX28,0.659, 0.465, 0.364,246,1
A0A143ZX45,0.841, 0.969, 0.092,1797,3
A0A143ZX57,0.059, 0.172, 1.000,136,2
A0A143ZX62,0.965, 0.000, 0.363,143,0
A0A143ZX69,1.000, 0.000, 0.457,138,1
A0A143ZX72,0.219, 0.266, 0.511,178,1
A0A143ZXA3,0.777, 1.000, 0.359,219,0
A0A143ZXB3,0.023, 0.152, 1.000,344,2
A0A143ZXB4,0.203, 0.608, 0.606,163,1
A0A143ZXB9,0.108, 0.544, 0.944,167,2
A0A143ZXC4,0.961, 1.000, 0.124,1998,0
A0A143ZXC7,0.673, 0.963, 0.270,346,2
A0A143ZXD1,0.375, 0.728, 0.523,224,1
A0A143ZXD4,0.342, 0.304, 0.304,404,3
A0A143ZXE1,0.995, 0.000, 0.135,1582,0
A0A143ZXE3,0.523, 0.994, 0.572,304,1
A0A143ZXE4,0.650, 0.929, 0.642,120,1
A0A143ZXE7,0.187, 0.327, 0.374,676,5
A0A143ZXG1,0.325, 0.886, 0.772,350,3
A0A143ZXG5,0.245, 0.419, 0.449,326,3
A0A143ZXG9,0.528, 0.972, 0.525,1241,8
A0A143ZXH0,0.417, 0.489, 0.266,235,1
A0A143ZXI1,0.624, 0.973, 0.636,300,1
A0A143ZXJ2,0.753, 1.000, 0.373,1529,7
A0A143ZXK1,0.918, 1.000, 0.144,1114,1
A0A143ZXL1,0.794, 0.976, 0.196,442,1
A0A143ZXM1,0.936, 1.000, 0.144,675,0
A0A143ZXM2,0.932, 0.838, 0.086,2074,2
A0A143ZXP1,0.552, 0.801, 0.583,304,1
A0A143ZXR3,0.021, 0.127, 1.000,378,1
A0A143ZXT2,0.184, 0.144, 0.060,179,2
A0A143ZXT6,0.843, 0.361, 0.050,938,1
A0A143ZXW4,0.606, 0.992, 0.416,302,2
A0A143ZXY0,0.699, 0.533, 0.209,797,3
A0A143ZXY8,0.162, 0.294, 0.667,130,1
A0A143ZXZ7,0.662, 0.844, 0.716,133,0
A0A143ZY06,0.229, 0.204, 0.812,70,1
A0A143ZY16,0.323, 0.390, 0.263,390,2
A0A143ZY25,0.000, 0.167, 1.000,138,1
A0A143ZY29,0.526, 0.536, 0.101,1579,6
A0A143ZY32,0.946, 1.000, 0.018,1340,1
A0A143ZY34,0.034, 0.482, 1.000,148,2
A0A143ZY44,0.313, 0.769, 0.377,195,1
A0A143ZY51,1.000, 0.000, 0.031,360,0
A0A143ZY53,0.559, 0.810, 0.261,2286,17
A0A143ZY63,0.521, 0.085, 0.060,488,1
A0A143ZY73,0.431, 0.515, 0.626,174,2
A0A143ZY93,0.256, 0.345, 0.266,308,1
A0A143ZYA4,0.013, 0.104, 1.000,302,1
A0A143ZYA5,0.860, 0.965, 0.177,1331,1
A0A143ZYA8,0.875, 0.960, 0.267,850,1
A0A143ZYB5,0.350, 0.472, 0.394,326,3
A0A143ZYC1,0.032, 0.105, 1.000,285,1
A0A143ZYC4,0.345, 0.343, 0.180,611,4
A0A143ZYC7,0.816, 0.429, 0.062,493,1
A0A143ZYI9,0.270, 0.615, 0.589,359,3
A0A143ZYJ4,0.089, 0.222, 0.303,336,2
A0A143ZYK0,0.439, 0.458, 0.569,148,0
A0A143ZYK6,0.141, 0.203, 0.128,276,1
A0A143ZYL5,0.968, 0.303, 0.008,1681,1
A0A143ZYQ2,0.627, 0.643, 0.426,150,0
A0A143ZYR7,0.650, 1.000, 0.406,1394,8
A0A143ZYU5,0.509, 0.248, 0.226,419,2
A0A143ZYV4,0.605, 0.749, 0.183,629,3
