A0A024FLK4,0.420, 0.053, 0.040,751,1
A0A075DNI2,0.159, 0.227, 0.289,283,2
A0A0N7KC65,0.371, 0.232, 0.148,418,3
A0A0N7KC67,0.134, 0.183, 0.373,379,3
A0A0N7KC71,0.141, 0.381, 0.901,220,1
A0A0N7KC78,0.281, 0.346, 0.327,338,3
A0A0N7KC80,1.000, 0.000, 0.135,96,0
A0A0N7KC81,0.992, 0.000, 0.336,126,0
A0A0N7KC83,0.202, 0.369, 0.450,397,3
A0A0N7KC93,1.000, 0.000, 0.255,165,1
A0A0N7KC94,0.727, 0.982, 0.594,190,1
A0A0N7KC98,1.000, 0.000, 0.044,136,0
A0A0N7KC99,0.130, 0.304, 0.569,1098,7
A0A0N7KCA1,0.196, 0.167, 0.316,418,3
A0A0N7KCA2,1.000, 0.000, 0.004,448,0
A0A0N7KCA6,1.000, 0.000, 0.678,180,0
A0A0N7KCA7,0.842, 0.000, 0.952,101,0
A0A0N7KCA8,1.000, 0.000, 0.031,160,0
A0A0N7KCB4,1.000, 0.000, 0.267,90,0
A0A0N7KCB5,1.000, 0.000, 0.287,129,0
A0A0N7KCB8,0.649, 0.385, 0.396,171,1
A0A0N7KCB9,0.510, 0.212, 0.265,259,2
A0A0N7KCC1,0.232, 0.459, 0.267,176,2
A0A0N7KCC3,0.776, 1.000, 0.950,76,0
A0A0N7KCC6,0.119, 0.596, 1.000,101,1
A0A0N7KCC7,1.000, 0.000, 0.067,178,0
A0A0N7KCC8,0.185, 0.258, 0.643,243,3
A0A0N7KCD0,0.986, 0.000, 0.406,295,0
A0A0N7KCD2,0.021, 0.162, 1.000,189,1
A0A0N7KCD6,0.129, 0.254, 0.395,920,2
A0A0N7KCD8,0.130, 0.239, 0.500,1032,5
A0A0N7KCD9,0.837, 0.000, 1.000,49,0
A0A0N7KCE0,0.222, 0.132, 0.829,185,1
A0A0N7KCE4,0.524, 0.346, 0.132,231,1
A0A0N7KCE7,1.000, 0.000, 0.007,456,0
A0A0N7KCE8,0.037, 0.330, 1.000,387,2
A0A0N7KCF2,1.000, 0.000, 0.000,107,0
A0A0N7KCF5,1.000, 0.000, 0.160,150,0
A0A0N7KCF9,0.505, 0.592, 0.224,426,3
A0A0N7KCG2,1.000, 0.000, 0.120,191,0
A0A0N7KCG4,1.000, 0.000, 0.489,90,0
A0A0N7KCG6,0.903, 1.000, 0.597,217,0
A0A0N7KCG9,0.988, 0.000, 0.591,250,0
A0A0N7KCH0,0.396, 0.500, 0.811,53,0
A0A0N7KCH6,0.663, 0.518, 0.772,166,0
