A0AAN2H660,0.016, 0.118, 1.000,189,1
A0AAN2H671,0.107, 0.195, 0.458,327,1
A0AAN2H683,0.514, 0.687, 0.280,1185,7
A0AAN2H698,0.280, 0.350, 0.418,504,2
A0AAN2H6B6,1.000, 0.000, 0.308,260,0
A0AAN2H6C5,0.072, 0.258, 0.833,331,2
A0AAN2H6E2,0.378, 0.770, 0.384,1332,10
A0AAN2H6F9,0.236, 0.335, 0.237,555,3
A0AAN2H6G1,0.556, 0.352, 0.586,282,2
A0AAN2H6H5,0.822, 0.000, 0.934,56,0
A0AAN2H6H8,0.261, 0.461, 0.548,645,2
A0AAN2H6I0,0.013, 0.055, 1.000,297,1
A0AAN2H6J4,0.083, 0.049, 0.036,337,1
A0AAN2H6K0,0.139, 0.250, 0.331,237,2
A0AAN2H6K9,0.342, 0.389, 0.263,301,1
A0AAN2H6L4,0.068, 0.028, 0.794,349,1
A0AAN2H6M4,0.142, 0.140, 0.732,316,1
A0AAN2H7H4,0.337, 0.991, 0.484,172,1
A0AAN2H7J7,0.328, 0.225, 0.476,192,1
A0AAN2H7N4,0.305, 0.678, 0.774,174,1
A0AAN2H7N7,0.191, 0.148, 0.492,393,4
A0AAN2H7Q5,0.137, 0.656, 0.854,1628,8
A0AAN2H7Q7,0.016, 0.027, 1.000,184,1
A0AAN2H7R6,0.244, 0.550, 0.332,1487,8
A0AAN2H7S7,0.898, 0.000, 0.903,127,0
A0AAN2H7T3,0.068, 0.149, 0.147,690,2
A0AAN2H7U4,0.242, 0.616, 0.409,505,4
A0AAN2H7Y5,0.132, 0.310, 0.667,182,2
A0AAN2H7Z2,0.380, 0.687, 0.424,598,4
A0AAN2H813,0.057, 0.168, 0.772,550,3
A0AAN2H818,0.108, 0.129, 0.296,157,1
A0AAN2H837,0.184, 0.146, 0.467,244,1
A0AAN2H850,0.137, 0.399, 0.774,509,2
A0AAN2H855,0.043, 0.027, 1.000,190,1
A0AAN2H856,0.129, 0.125, 0.426,524,2
A0AAN2H877,0.316, 0.016, 0.642,177,1
A0AAN2H888,1.000, 0.000, 0.144,132,0
A0AAN2H896,0.379, 0.324, 0.562,422,2
