A0A075W8S1,0.093, 0.393, 0.828,376,3
A0A0B5E2H5,0.166, 0.037, 0.114,259,1
A0A0B5E2M0,0.019, 0.195, 1.000,220,1
A0A0B5E8V1,0.026, 0.018, 1.000,224,1
A0A0B5EA67,0.044, 0.014, 1.000,226,1
A0A0B5EC24,0.023, 0.061, 1.000,217,1
A0A0B5EC52,0.094, 0.019, 0.181,233,1
A0A0G4DBR5,0.004, 0.083, 1.000,459,1
A0A0K2CSW0,0.637, 0.522, 0.520,242,2
A0A0K2CT67,0.187, 0.311, 0.882,91,1
A0A0K2CT73,0.507, 0.290, 0.465,280,1
A0A0K2CT95,0.415, 0.120, 0.549,171,1
A0A0K2CTA8,0.684, 0.323, 0.762,215,1
A0A0K2CTB0,0.705, 0.075, 0.427,312,1
A0A0K2CTB2,0.357, 0.142, 0.333,361,2
A0A0K2CTB3,0.702, 0.500, 0.695,281,1
A0A0K2CTB7,0.579, 0.280, 0.340,238,2
A0A0K2CTE4,0.506, 0.272, 0.417,298,1
A0A0K2CTE5,0.501, 0.325, 0.397,291,1
A0A0K2CTG7,0.624, 0.492, 0.500,314,1
A0A0K2CTP6,0.565, 0.253, 0.241,345,1
A0A0K2CTV0,0.565, 0.303, 0.255,340,1
A0A0R0BYR6,0.463, 0.974, 0.441,147,1
A0A0R0C5S4,0.124, 0.483, 1.000,137,2
A0A0R0C7N6,0.416, 0.811, 0.707,245,3
A0A0R0CFQ4,0.907, 0.000, 0.787,119,0
A0A0R0CRP7,1.000, 0.000, 0.238,151,0
A0A0R0D311,0.492, 0.959, 0.596,191,1
A0A0R0D606,0.196, 0.302, 0.929,148,2
A0A0R0DW58,0.133, 0.325, 0.677,188,1
A0A0R0DY39,0.395, 0.712, 0.744,109,0
A0A0R0DZ99,0.532, 0.846, 0.235,305,2
A0A0R0DZE5,0.603, 1.000, 0.680,83,0
A0A0R0E240,0.384, 0.036, 0.146,180,1
A0A0R0E2A0,0.303, 0.954, 0.297,155,1
A0A0R0E2D0,0.062, 0.989, 1.000,96,1
A0A0R0E2E6,0.391, 0.269, 0.141,494,1
A0A0R0E2F2,0.077, 0.227, 0.662,722,3
