A0A060Q6E4,0.602, 0.384, 0.218,1109,4
A0A068F5P3,0.117, 0.062, 0.205,493,1
A0A068F9P7,0.129, 0.077, 0.062,496,1
A0A068FNU8,0.042, 0.125, 0.905,474,2
A0A068FR00,0.046, 0.159, 1.000,302,3
A0A068FR04,0.012, 0.110, 1.000,433,2
A0A075BR52,0.160, 0.977, 0.287,631,5
A0A077DF94,0.671, 0.479, 1.000,70,0
A0A096X8J7,0.387, 0.633, 0.171,1170,5
A0A097,0.152, 1.000, 1.000,46,0
A0A097HUX0,0.081, 0.252, 0.370,505,2
A0A097ZPG7,0.251, 0.007, 0.522,191,1
A0A0A0MPH1,0.135, 0.436, 0.578,459,4
A0A0A0MPH9,0.789, 0.427, 0.598,199,1
A0A0A0MPI6,0.379, 0.337, 0.475,211,1
A0A0A0MPL4,0.240, 0.326, 0.517,258,2
A0A0A0MPL5,0.028, 0.050, 1.000,494,2
A0A0A0MPW9,0.056, 0.215, 0.786,571,3
A0A0A7H8E2,0.635, 1.000, 0.676,175,0
A0A0A8JWS4,0.248, 0.321, 0.415,380,2
A0A0A8P3N1,0.096, 0.293, 1.000,166,2
A0A0B4J1A5,0.815, 0.924, 0.104,626,2
A0A0B4J1A8,0.141, 0.196, 0.163,642,3
A0A0B4J1B0,0.261, 0.553, 0.310,607,3
A0A0D5W690,0.128, 0.481, 0.406,937,4
A0A0E3D804,0.154, 0.388, 0.260,997,6
A0A0E4G213,0.088, 0.350, 0.580,546,2
A0A0F7C9F3,0.174, 0.770, 0.592,1655,12
A0A0F7EVQ6,0.177, 0.691, 0.621,1639,9
A0A0G2KC95,0.454, 0.601, 0.222,238,2
A0A0G2KCC7,0.386, 0.194, 0.044,699,1
A0A0G2KCH4,0.093, 0.335, 0.634,589,4
A0A0G2KCJ6,0.250, 0.184, 0.092,564,2
A0A0G2KCZ7,0.182, 0.471, 0.495,467,3
A0A0G2KD19,0.088, 0.205, 0.705,305,2
A0A0G2KDJ5,0.078, 0.215, 0.372,749,3
A0A0G2KDL6,0.807, 0.333, 0.139,1122,2
