Sequence separation,Root mean square end-to-end distance,Standard deviation
1,3.73508,0.0481346
2,6.06133,0.694263
3,8.18466,1.47025
4,10.0706,1.98771
5,11.7987,2.51964
6,13.3947,3.0186
7,14.8843,3.48848
8,16.2864,3.93641
9,17.6149,4.36342
10,18.8818,4.77454
11,20.0956,5.17425
12,21.2662,5.56237
13,22.3965,5.94037
14,23.491,6.30766
15,24.552,6.66495
16,25.5851,7.01307
17,26.5892,7.35297
18,27.5671,7.68411
19,28.5205,8.00715
20,29.4513,8.32151
21,30.3616,8.62833
22,31.2521,8.92746
23,32.1273,9.22179
24,32.9885,9.51186
25,33.8353,9.79768
26,34.669,10.079
27,35.4877,10.3544
28,36.2927,10.6261
29,37.0848,10.8937
30,37.865,11.1567
31,38.6348,11.4162
32,39.3929,11.6707
33,40.1399,11.9205
34,40.8743,12.1651
35,41.5991,12.4061
36,42.3142,12.6443
37,43.0195,12.88
38,43.7149,13.113
39,44.4027,13.3451
40,45.0834,13.5758
41,45.7575,13.8054
42,46.4251,14.0327
43,47.0837,14.2564
44,47.7352,14.4768
45,48.38,14.6949
46,49.0181,14.9095
47,49.6497,15.1222
48,50.274,15.3327
49,50.8907,15.5408
50,51.5034,15.7476
51,52.1105,15.9527
52,52.7135,16.1575
53,53.3118,16.361
54,53.9053,16.5634
55,54.4936,16.7642
56,55.0777,16.9634
57,55.6571,17.1619
58,56.2306,17.3576
59,56.799,17.5521
60,57.3633,17.745
61,57.9242,17.9364
62,58.4803,18.1264
63,59.0321,18.3151
64,59.5796,18.5027
65,60.1221,18.6891
66,60.6629,18.8733
67,61.2027,19.0569
68,61.7404,19.2389
69,62.2766,19.4201
70,62.8096,19.5999
71,63.3381,19.7777
72,63.8628,19.953
73,64.3845,20.1276
74,64.9015,20.3004
75,65.4164,20.4723
76,65.9291,20.6445
77,66.4388,20.8166
78,66.9447,20.9886
79,67.4464,21.1596
80,67.9453,21.3312
81,68.4411,21.502
82,68.9331,21.6723
83,69.4219,21.8436
84,69.9067,22.0143
85,70.3883,22.1853
86,70.8678,22.3565
87,71.3436,22.527
88,71.8165,22.6975
89,72.2871,22.8669
90,72.7532,23.0337
91,73.2159,23.1989
92,73.6763,23.3639
93,74.1353,23.529
94,74.5936,23.6948
95,75.0488,23.8603
96,75.4995,24.0244
97,75.9457,24.1875
98,76.3892,24.3499
99,76.8275,24.5108
100,77.2648,24.672
101,77.7038,24.8347
102,78.1422,24.9971
103,78.5791,25.158
104,79.013,25.3171
105,79.4428,25.4754
106,79.868,25.6318
107,80.2906,25.7869
108,80.7096,25.94
109,81.1273,26.0945
110,81.5427,26.2486
111,81.9552,26.4024
112,82.3673,26.557
113,82.7782,26.7118
114,83.1871,26.8661
115,83.5954,27.0194
116,84.0007,27.1708
117,84.4072,27.3223
118,84.8114,27.4718
119,85.2136,27.6203
120,85.6125,27.7688
121,86.009,27.9156
122,86.4014,28.0608
123,86.7899,28.2043
124,87.1769,28.3487
125,87.5617,28.4921
126,87.9432,28.6371
127,88.3239,28.781
128,88.7033,28.9268
129,89.0822,29.0741
130,89.4627,29.2225
131,89.8408,29.3697
132,90.2154,29.5148
133,90.5875,29.6609
134,90.9601,29.8076
135,91.3291,29.9545
136,91.6946,30.101
137,92.055,30.2456
138,92.4171,30.3915
139,92.7783,30.539
140,93.1378,30.6869
141,93.4926,30.8338
142,93.8428,30.9811
143,94.1883,31.1296
144,94.5361,31.2802
145,94.8832,31.4324
146,95.2327,31.5886
147,95.5763,31.743
148,95.914,31.8955
149,96.2505,32.0446
150,96.5791,32.1909
151,96.9099,32.3415
152,97.2329,32.4861
153,97.5644,32.6351
154,97.8855,32.7807
155,98.2085,32.9263
156,98.5257,33.0665
157,98.8451,33.206
158,99.1645,33.3488
159,99.4841,33.492
160,99.8235,33.645
161,100.157,33.8071
162,100.51,33.9797
163,100.869,34.1495
164,101.197,34.2982
