A0A023PYF4,1.000, 0.000, 0.000,145,0
A0A023PZB3,1.000, 0.000, 0.833,126,0
A0A023PZE8,0.970, 0.000, 0.473,133,0
A0A023PZF2,0.719, 1.000, 0.701,135,0
A0A023PZG4,1.000, 0.000, 0.486,107,0
A0A0B7P221,0.536, 0.000, 1.000,28,0
A0A0B7P3V8,0.463, 0.709, 0.283,1104,7
A0A8D9PCQ4,1.000, 0.000, 0.006,155,0
A0A8D9PH56,0.509, 1.000, 0.794,57,0
A0A8D9UGQ7,0.912, 0.000, 0.610,90,0
A0A8D9UGU6,1.000, 0.000, 0.036,84,0
A2P2R3,0.210, 0.072, 0.238,262,1
A5Z2X5,0.278, 0.654, 1.000,72,0
D6VPM8,0.218, 0.628, 0.335,179,1
D6VTK4,0.422, 0.799, 0.358,431,4
D6W196,0.442, 0.725, 0.477,494,4
I2HB52,0.985, 0.000, 0.892,66,0
I2HB70,0.767, 1.000, 0.760,103,0
O13297,0.447, 0.267, 0.213,549,3
O13329,0.403, 0.417, 0.154,566,3
O13511,0.906, 0.000, 0.138,128,0
O13512,1.000, 0.000, 0.040,126,0
O13516,0.010, 0.077, 1.000,197,1
O13525,0.138, 0.232, 0.348,335,1
O13527,0.373, 0.366, 0.145,1196,6
O13529,1.000, 0.000, 0.013,151,0
O13535,0.443, 0.548, 0.199,1793,10
O13536,1.000, 0.000, 0.320,103,0
O13539,0.325, 0.978, 0.529,261,2
O13544,0.950, 0.000, 0.255,120,0
O13547,0.727, 0.769, 0.422,238,1
O13548,1.000, 0.000, 0.102,118,0
O13549,0.842, 1.000, 0.857,108,0
O13555,0.440, 0.900, 0.927,125,0
O13556,0.688, 0.747, 0.468,202,2
O13559,0.477, 0.835, 0.375,1382,9
O13563,0.448, 1.000, 0.672,156,0
O13565,1.000, 0.000, 0.059,187,0
O13574,1.000, 0.000, 0.427,117,0
O13577,0.639, 1.000, 0.776,133,0
O13578,1.000, 0.000, 0.402,112,0
O13585,0.324, 0.388, 0.275,888,6
O13587,0.840, 0.000, 0.655,100,0
O14455,0.020, 0.082, 1.000,100,1
O14464,0.484, 0.209, 1.000,93,1
O14467,0.252, 0.540, 0.762,151,1
O14468,0.407, 0.090, 0.710,76,1
O43137,0.294, 0.734, 0.439,85,1
O60200,0.140, 0.108, 1.000,86,1
O74302,0.618, 0.643, 0.081,440,2
O74700,0.057, 0.122, 1.000,87,1
O75012,0.221, 0.460, 0.905,95,1
O94742,0.517, 0.768, 0.979,89,0
P00044,0.009, 0.009, 1.000,109,1
P00045,0.044, 0.028, 1.000,113,1
P00127,0.361, 0.234, 0.188,147,1
P00128,0.016, 0.040, 1.000,127,1
P00163,0.000, 0.016, 1.000,385,1
P00175,0.178, 0.122, 0.107,591,2
P00330,0.006, 0.069, 1.000,348,1
P00331,0.006, 0.063, 1.000,348,1
P00358,0.000, 0.006, 1.000,332,1
P00359,0.000, 0.003, 1.000,332,1
P00360,0.000, 0.003, 1.000,332,1
P00401,0.058, 0.096, 0.810,534,1
P00410,0.052, 0.059, 1.000,251,1
P00420,0.004, 0.048, 1.000,269,1
P00424,0.131, 0.113, 0.947,153,2
P00425,0.106, 0.088, 1.000,151,2
P00427,0.264, 0.110, 0.973,148,1
P00431,0.194, 0.004, 0.041,361,1
P00445,0.000, 0.019, 1.000,154,1
P00447,0.108, 0.004, 0.083,233,1
P00498,0.020, 0.048, 1.000,297,1
P00546,0.087, 0.231, 0.851,298,2
P00549,0.004, 0.046, 1.000,500,1
P00560,0.002, 0.050, 1.000,416,1
P00572,0.005, 0.107, 1.000,216,1
P00635,0.056, 0.061, 0.196,467,1
P00724,0.047, 0.081, 0.128,532,2
P00729,0.152, 0.169, 0.632,532,1
P00812,0.051, 0.066, 0.706,333,2
P00815,0.029, 0.275, 0.655,799,3
P00817,0.013, 0.010, 1.000,287,1
P00830,0.082, 0.318, 0.098,511,1
