O05154,0.046, 0.077, 0.870,353,1
O05204,0.002, 0.164, 1.000,507,2
O06446,0.105, 0.369, 0.648,843,4
O07325,0.200, 0.024, 0.105,470,1
O08387,0.300, 0.827, 0.913,430,3
O33599,0.257, 0.030, 0.062,316,2
O34090,0.023, 0.136, 1.000,308,1
O50581,0.160, 0.674, 0.662,686,5
O52582,0.000, 0.005, 1.000,438,1
P02976,0.411, 0.451, 0.127,516,6
P0A011,0.006, 0.034, 1.000,326,1
P0A084,0.006, 0.084, 1.000,169,1
P0A086,0.023, 0.029, 1.000,177,1
P0A088,0.014, 0.057, 1.000,142,1
P0A0B7,0.000, 0.048, 1.000,189,1
P0A0B9,0.000, 0.016, 1.000,310,1
P0A0F4,0.043, 0.865, 1.000,140,2
P0A0F8,0.000, 0.007, 1.000,146,1
P0A0G2,0.000, 0.051, 1.000,59,1
P0A0G6,0.131, 0.178, 1.000,84,1
P0A0H0,0.000, 0.022, 1.000,137,1
P0A0I4,0.050, 0.439, 1.000,60,1
P0A0J0,0.180, 0.371, 0.606,368,3
P0A0J3,0.000, 0.010, 1.000,199,1
P0A0K3,0.006, 0.012, 1.000,171,1
P0A0M9,0.021, 0.043, 1.000,144,1
P0A0Q0,0.020, 0.106, 1.000,251,2
P0A0Q4,0.006, 0.265, 1.000,156,1
P0C0V7,0.018, 0.104, 1.000,451,2
P0C7Y1,0.048, 0.200, 1.000,21,0
P0C7Z3,0.048, 0.250, 1.000,21,0
P0C805,0.045, 0.191, 1.000,22,0
P0C818,0.050, 0.158, 1.000,20,0
P0C948,0.110, 0.112, 1.000,100,1
P14738,0.704, 0.253, 0.105,1018,1
P31337,0.069, 0.133, 1.000,218,2
P47768,0.036, 0.262, 0.389,1183,4
P48860,0.246, 0.979, 0.333,122,1
P48940,0.013, 0.130, 1.000,156,1
P52078,0.191, 0.363, 0.377,405,2
P60070,0.019, 0.047, 1.000,108,1
P60393,0.013, 0.172, 1.000,311,3
P60430,0.011, 0.029, 1.000,277,1
P60611,0.082, 0.279, 0.402,246,2
P60639,0.004, 0.044, 1.000,229,1
P60643,0.025, 0.088, 1.000,233,1
P60647,0.100, 0.203, 1.000,131,2
P68805,0.108, 0.486, 1.000,120,2
P69848,0.047, 0.145, 1.000,340,2
P72358,0.123, 0.178, 0.610,147,1
P72360,0.009, 0.063, 1.000,224,1
P95689,0.005, 0.049, 1.000,428,1
Q05615,0.007, 0.073, 1.000,432,1
Q2FUP5,0.056, 0.166, 1.000,230,2
Q2FUP6,0.224, 0.428, 0.781,268,2
Q2FUP7,0.072, 0.347, 0.903,413,3
Q2FUP8,0.112, 0.032, 1.000,71,1
Q2FUP9,0.042, 0.177, 1.000,118,2
Q2FUQ0,0.000, 0.022, 1.000,45,1
Q2FUQ1,0.018, 0.096, 1.000,117,1
Q2FUQ2,0.124, 0.371, 0.403,459,4
Q2FUQ3,0.010, 0.108, 1.000,625,2
Q2FUQ4,0.004, 0.092, 1.000,239,1
Q2FUQ5,0.172, 0.536, 0.541,279,2
Q2FUQ6,0.043, 0.794, 1.000,117,0
Q2FUQ7,0.015, 0.403, 1.000,131,2
Q2FUQ8,0.026, 0.212, 1.000,189,1
Q2FUQ9,0.107, 0.090, 1.000,75,1
Q2FUR0,0.507, 1.000, 0.824,79,0
Q2FUR1,0.163, 0.433, 0.632,116,1
Q2FUR2,0.018, 0.123, 1.000,165,1
Q2FUR3,0.118, 0.210, 0.669,178,1
Q2FUR4,0.051, 0.600, 1.000,79,0
Q2FUR5,0.099, 0.665, 0.970,626,3
Q2FUR6,0.024, 0.073, 1.000,252,1
Q2FUR7,0.036, 0.171, 1.000,170,1
Q2FUR8,0.000, 0.057, 1.000,264,1
Q2FUR9,0.180, 0.437, 0.789,338,2
Q2FUS0,0.036, 0.114, 1.000,191,2
Q2FUS1,0.030, 0.072, 1.000,302,1
Q2FUS2,0.008, 0.214, 1.000,472,1
Q2FUS3,0.006, 0.058, 1.000,154,1
Q2FUS4,0.054, 0.264, 1.000,112,1
Q2FUS5,0.114, 0.836, 0.965,255,2
Q2FUS6,0.005, 0.033, 1.000,212,1
Q2FUS7,0.012, 0.022, 1.000,318,1
Q2FUS8,0.009, 0.057, 1.000,324,1
Q2FUS9,0.000, 0.053, 1.000,171,1
Q2FUT0,0.007, 0.067, 1.000,282,1
Q2FUT1,0.016, 0.094, 1.000,184,1
Q2FUT2,0.031, 0.409, 0.613,570,2
Q2FUT3,0.044, 0.479, 1.000,277,2
Q2FUT4,0.000, 0.067, 1.000,165,1
Q2FUT5,0.074, 0.090, 0.716,374,1
Q2FUT6,0.000, 0.243, 1.000,272,1
Q2FUT7,0.015, 0.025, 1.000,204,1
Q2FUT8,0.007, 0.048, 1.000,416,1
Q2FUT9,0.012, 0.030, 1.000,337,1
Q2FUU0,0.000, 0.026, 1.000,192,1
Q2FUU1,0.010, 0.005, 1.000,192,1
Q2FUU2,0.004, 0.129, 1.000,234,1
Q2FUU3,0.076, 0.314, 0.539,462,3
Q2FUU4,1.000, 0.000, 0.671,79,0
Q2FUU5,0.444, 0.135, 0.034,680,1
Q2FUV1,0.127, 0.375, 1.000,220,2
Q2FUV2,0.105, 0.058, 0.457,230,1
Q2FUV3,0.035, 0.017, 1.000,255,1
Q2FUV4,0.030, 0.019, 1.000,166,1
Q2FUV5,0.000, 0.019, 1.000,158,1
Q2FUV6,0.000, 0.103, 1.000,203,1
Q2FUV7,0.050, 0.380, 1.000,119,1
Q2FUV8,0.270, 0.178, 0.852,100,1
Q2FUV9,0.746, 1.000, 0.680,142,1
Q2FUW0,0.060, 0.176, 1.000,230,1
Q2FUW1,0.779, 0.018, 0.019,2271,3
Q2FUW2,0.154, 0.505, 0.870,403,4
Q2FUW3,0.047, 0.191, 0.787,517,2
Q2FUW4,0.034, 0.104, 0.618,522,2
Q2FUW5,0.150, 0.399, 0.793,319,3
Q2FUW6,0.078, 0.451, 0.949,796,4
Q2FUW7,0.000, 0.118, 1.000,502,2
Q2FUW8,0.031, 0.158, 1.000,452,2
Q2FUW9,0.500, 0.514, 0.204,635,3
Q2FUX0,0.115, 0.459, 0.278,650,3
Q2FUX1,0.058, 0.498, 0.862,624,4
Q2FUX2,0.848, 0.781, 0.419,152,0
Q2FUX3,0.240, 0.120, 0.167,175,2
Q2FUX4,0.058, 0.104, 0.172,498,2
Q2FUX5,0.040, 0.252, 1.000,149,2
Q2FUX6,0.910, 0.000, 0.940,55,0
Q2FUX7,0.031, 0.166, 1.000,411,1
Q2FUX8,0.027, 0.070, 1.000,336,1
Q2FUX9,0.057, 0.294, 0.807,476,2
Q2FUY1,0.068, 0.115, 1.000,234,2
Q2FUY2,0.687, 0.645, 0.131,877,2
Q2FUY3,0.004, 0.012, 1.000,253,1
Q2FUY4,0.059, 0.148, 1.000,151,1
Q2FUY5,0.222, 0.928, 1.000,36,0
Q2FUY6,0.095, 0.044, 0.063,474,1
Q2FUY7,0.264, 0.309, 1.000,57,0
Q2FUY8,0.637, 0.375, 0.571,66,0
Q2FUY9,0.055, 0.158, 1.000,221,3
Q2FUZ0,0.041, 0.346, 1.000,295,3
Q2FUZ1,0.020, 0.061, 1.000,251,1
Q2FUZ2,0.105, 0.619, 0.629,666,4
Q2FUZ3,0.036, 0.241, 1.000,56,1
Q2FUZ4,0.405, 0.909, 1.000,37,0
Q2FUZ5,0.884, 0.000, 0.684,86,0
Q2FUZ6,0.036, 0.050, 1.000,165,1
Q2FUZ7,0.067, 0.214, 1.000,30,0
Q2FUZ8,0.109, 0.159, 0.119,626,3
Q2FUZ9,0.000, 0.050, 1.000,201,1
Q2FV00,0.161, 1.000, 1.000,31,0
Q2FV01,0.044, 0.408, 0.795,456,1
Q2FV02,0.008, 0.128, 1.000,616,1
Q2FV03,0.006, 0.034, 1.000,178,1
Q2FV04,0.306, 0.919, 1.000,36,0
Q2FV05,0.000, 0.094, 1.000,53,1
Q2FV06,0.045, 0.357, 0.956,534,1
Q2FV07,0.048, 0.027, 1.000,228,1
Q2FV08,0.037, 0.038, 1.000,187,2
Q2FV09,0.065, 0.517, 1.000,31,0
Q2FV10,0.004, 0.018, 1.000,496,1
Q2FV11,0.025, 0.067, 1.000,569,1
Q2FV12,0.014, 0.246, 1.000,70,1
Q2FV13,0.088, 0.209, 1.000,147,1
Q2FV14,0.019, 0.198, 1.000,532,2
Q2FV15,0.394, 1.000, 0.954,109,0
Q2FV16,0.024, 0.218, 1.000,498,2
Q2FV17,0.000, 0.017, 1.000,296,1
Q2FV18,0.000, 0.065, 1.000,138,1
Q2FV19,0.004, 0.009, 1.000,234,1
Q2FV20,0.000, 0.021, 1.000,286,1
Q2FV21,0.007, 0.051, 1.000,272,1
Q2FV22,0.004, 0.053, 1.000,283,1
Q2FV23,0.055, 0.041, 1.000,127,1
Q2FV24,0.002, 0.020, 1.000,560,1
Q2FV25,0.562, 0.000, 0.945,32,0
Q2FV26,0.046, 0.172, 1.000,195,2
Q2FV27,0.013, 0.082, 1.000,149,1
Q2FV28,0.004, 0.058, 1.000,240,1
Q2FV29,0.462, 0.633, 0.595,91,0
Q2FV30,0.003, 0.088, 1.000,354,2
Q2FV31,0.034, 0.058, 1.000,288,1
Q2FV32,0.055, 0.196, 1.000,92,1
Q2FV33,0.016, 0.258, 1.000,122,1
Q2FV34,0.020, 0.062, 1.000,98,1
Q2FV35,0.003, 0.101, 1.000,368,2
Q2FV36,0.056, 0.774, 1.000,267,4
Q2FV37,0.105, 0.571, 0.552,172,1
Q2FV38,0.145, 0.545, 0.421,296,3
Q2FV39,0.000, 0.029, 1.000,276,1
Q2FV40,0.009, 0.033, 1.000,336,1
Q2FV41,0.034, 0.097, 1.000,234,2
Q2FV42,0.049, 0.170, 1.000,185,1
Q2FV43,0.091, 0.233, 1.000,99,2
