O06917,0.025, 0.099, 1.000,320,2
O06918,0.285, 0.099, 0.667,84,1
O53113,0.412, 0.503, 0.223,703,5
P0CL56,0.132, 0.392, 1.000,53,0
P0CW37,0.109, 0.895, 1.000,64,1
P0CW38,0.088, 0.154, 1.000,57,1
P0CW39,0.925, 0.000, 0.586,107,0
P0CW76,0.066, 0.052, 1.000,61,1
P43409,0.005, 0.110, 1.000,192,1
P54009,0.057, 0.049, 1.000,87,1
P54010,0.014, 0.188, 1.000,146,1
P54011,0.033, 0.441, 1.000,61,1
P54012,0.007, 0.283, 1.000,153,1
P54013,0.020, 0.177, 1.000,98,1
P54014,0.021, 0.137, 1.000,335,1
P54015,0.000, 0.095, 1.000,252,2
P54016,0.000, 0.035, 1.000,86,1
P54017,0.000, 0.070, 1.000,242,1
P54018,0.145, 0.223, 0.772,152,1
P54019,0.047, 0.112, 1.000,150,1
P54020,0.011, 0.195, 1.000,187,1
P54021,0.078, 0.051, 1.000,129,1
P54022,0.033, 0.316, 1.000,121,1
P54023,0.000, 0.299, 1.000,137,1
P54024,0.007, 0.067, 1.000,136,1
P54025,0.184, 0.259, 1.000,38,1
P54026,0.016, 0.328, 1.000,62,1
P54027,0.011, 0.301, 1.000,94,1
P54028,0.064, 0.379, 1.000,62,1
P54029,0.010, 0.280, 1.000,101,1
P54030,0.093, 0.953, 1.000,161,1
P54031,0.217, 1.000, 1.000,60,1
P54032,0.129, 0.784, 1.000,101,1
P54033,0.032, 0.073, 1.000,156,1
P54034,0.057, 0.204, 1.000,208,1
P54035,0.043, 0.328, 1.000,70,1
P54036,0.060, 0.264, 1.000,117,1
P54037,0.008, 0.053, 1.000,132,1
P54038,0.042, 0.165, 1.000,120,1
P54039,0.037, 0.144, 1.000,244,2
P54040,0.053, 0.167, 1.000,190,1
P54041,0.008, 0.031, 1.000,130,1
P54042,0.000, 0.253, 1.000,182,1
P54043,0.026, 0.054, 1.000,151,1
P54044,0.000, 0.021, 1.000,195,1
P54045,0.019, 0.315, 1.000,217,1
P54046,0.000, 0.234, 1.000,154,1
P54047,0.014, 0.390, 1.000,143,1
P54048,0.206, 0.370, 0.762,102,1
P54049,0.168, 0.790, 0.333,338,3
P54050,0.028, 0.094, 1.000,219,1
P54051,0.022, 0.066, 1.000,92,1
P54052,0.039, 0.753, 1.000,76,1
P54053,0.000, 0.056, 1.000,89,1
P54054,0.137, 1.000, 1.000,80,1
P54055,0.031, 0.112, 1.000,129,1
